38 Provinsi;2023;2022;2021;2020;2023;2022;2021;2020
;;;;;;;;
;;;;;;;;
;;;;;;;;
ACEH;71,04;70,95;70,74;70,72;75,18;74,99;74,77;74,75
SUMATERA UTARA;71,44;71,26;71,07;71,01;76,01;75,63;75,23;75,09
SUMATERA BARAT;71,75;71,58;71,4;71,33;76,65;76,3;75,91;75,78
RIAU;71,77;71,62;71,47;71,43;76,71;76,39;76,08;76
JAMBI;71,55;71,4;71,25;71,22;76,24;75,93;75,61;75,55
SUMATERA SELATAN;71,68;71,5;71,31;71,26;76,52;76,13;75,74;75,63
BENGKULU;71,08;70,93;70,69;70,63;75,25;74,97;74,71;74,65
LAMPUNG;71,77;71,62;71,48;71,43;76,69;76,39;76,09;76
KEP. BANGKA BELITUNG;71,59;71,45;71,31;71,26;76,32;76,02;75,74;75,63
KEP. RIAU;72,27;72,06;71,89;71,82;77,67;77,31;76,95;76,8
DKI JAKARTA;73,01;72,79;72,58;72,51;78,75;78,43;78,12;78,02
JAWA BARAT;72,27;72,08;71,9;71,78;77,68;77,35;76,97;76,72
JAWA TENGAH;72,95;72,71;72,61;72,51;77,4;77,25;77,13;76,99
DI YOGYAKARTA;73,48;73,28;73,27;73,22;77,19;77,01;76,97;76,83
JAWA TIMUR;72,24;72,03;71,84;71,79;77,63;77,24;76,84;76,75
BANTEN;72,16;71,95;71,77;71,73;77,51;77,09;76,69;76,63
BALI;72,25;72,05;71,88;71,83;77,64;77,28;76,93;76,83
NUSA TENGGARA BARAT;70,07;69,72;69,39;69,24;74,07;73,7;73,36;73,2
NUSA TENGGARA TIMUR;69,63;69,37;69,08;68,95;73,61;73,33;73,03;72,9
KALIMANTAN BARAT;71,47;71,31;71,17;71,14;76,07;75,74;75,45;75,38
KALIMANTAN TENGAH;71,36;71,23;71,1;71,07;75,83;75,56;75,29;75,23
KALIMANTAN SELATAN;71,64;71,46;71,28;71,19;76,42;76,05;75,68;75,48
KALIMANTAN TIMUR;72,96;72,5;72,32;71,9;76,62;76,52;76,47;76,05
KALIMANTAN UTARA;71,36;71,34;71,32;71,28;75,83;75,79;75,76;75,67
SULAWESI UTARA;71,56;71,39;71,22;71,19;76,26;75,9;75,55;75,48
SULAWESI TENGAH;68,74;68,57;68,49;68,39;72,68;72,5;72,42;72,33
SULAWESI SELATAN;71,41;71,27;71,08;71,02;75,96;75,64;75,25;75,12
SULAWESI TENGGARA;69,84;69,76;69,67;69,62;73,83;73,74;73,65;73,6
GORONTALO;68,58;68,3;68,01;67,91;72,51;72,24;71,95;71,85
SULAWESI BARAT;68,84;68,5;68,16;67,99;72,78;72,43;72,1;71,93
MALUKU;68,53;68,24;67,93;67,82;72,46;72,18;71,87;71,77
MALUKU UTARA;68,84;68,55;68,25;68,14;72,78;72,48;72,19;72,08
PAPUA BARAT;66,57;66,29;66,01;65,92;70,55;70,27;70;69,9
PAPUA;66,23;66,03;65,78;65,65;70,21;70,02;69,76;69,62
INDONESIA;71,61;71,46;71,3;71,25;76,37;76,05;75,72;75,6
ACEH;71,04;70,95;70,74;70,72;75,18;74,99;74,77;74,75
SUMATERA UTARA;71,44;71,26;71,07;71,01;76,01;75,63;75,23;75,09
SUMATERA BARAT;71,75;71,58;71,4;71,33;76,65;76,3;75,91;75,78
RIAU;71,77;71,62;71,47;71,43;76,71;76,39;76,08;76
JAMBI;71,55;71,4;71,25;71,22;76,24;75,93;75,61;75,55
SUMATERA SELATAN;71,68;71,5;71,31;71,26;76,52;76,13;75,74;75,63
BENGKULU;71,08;70,93;70,69;70,63;75,25;74,97;74,71;74,65
LAMPUNG;71,77;71,62;71,48;71,43;76,69;76,39;76,09;76
KEP. BANGKA BELITUNG;71,59;71,45;71,31;71,26;76,32;76,02;75,74;75,63
KEP. RIAU;72,27;72,06;71,89;71,82;77,67;77,31;76,95;76,8
DKI JAKARTA;73,01;72,79;72,58;72,51;78,75;78,43;78,12;78,02
JAWA BARAT;72,27;72,08;71,9;71,78;77,68;77,35;76,97;76,72
JAWA TENGAH;72,95;72,71;72,61;72,51;77,4;77,25;77,13;76,99
DI YOGYAKARTA;73,48;73,28;73,27;73,22;77,19;77,01;76,97;76,83
JAWA TIMUR;72,24;72,03;71,84;71,79;77,63;77,24;76,84;76,75
BANTEN;72,16;71,95;71,77;71,73;77,51;77,09;76,69;76,63
BALI;72,25;72,05;71,88;71,83;77,64;77,28;76,93;76,83
NUSA TENGGARA BARAT;70,07;69,72;69,39;69,24;74,07;73,7;73,36;73,2
NUSA TENGGARA TIMUR;69,63;69,37;69,08;68,95;73,61;73,33;73,03;72,9
